Branch	Commit	Time	Author	Comment	FilesChanged	Insertions	Deletions	spent time	Column1	Column2	Column3
purchase/requisition	0fb648d	2/23/2026 18:14	Mazterhan	Merge branch 'module/orders'	3	345	23	12			
calculator/formulas	487a878	2/24/2026 15:58	Mazterhan	some update	1	6	0				
functionality/repair	487a878	2/24/2026 15:58	Mazterhan	some update	1	6	0				
main	487a878	2/24/2026 15:58	Mazterhan	some update	1	6	0				
module/administration	487a878	2/24/2026 15:58	Mazterhan	some update	1	6	0				
purchase/requisition	487a878	2/24/2026 15:58	Mazterhan	some update	1	6	0	2			
calculator/formulas	b49b0ed	3/12/2026 12:04	Mazterhan	removed 3-type of prices. One price left	18	144	315				
functionality/repair	b49b0ed	3/12/2026 12:04	Mazterhan	removed 3-type of prices. One price left	18	144	315				
main	b49b0ed	3/12/2026 12:04	Mazterhan	removed 3-type of prices. One price left	18	144	315				
module/administration	b49b0ed	3/12/2026 12:04	Mazterhan	removed 3-type of prices. One price left	18	144	315				
purchase/requisition	b49b0ed	3/12/2026 12:04	Mazterhan	removed 3-type of prices. One price left	18	144	315	2			
calculator/formulas	71b1868	3/12/2026 18:23	Mazterhan	resolved /price2 functionality	8	821	0				
functionality/repair	71b1868	3/12/2026 18:23	Mazterhan	resolved /price2 functionality	8	821	0				
main	71b1868	3/12/2026 18:23	Mazterhan	resolved /price2 functionality	8	821	0				
module/administration	71b1868	3/12/2026 18:23	Mazterhan	resolved /price2 functionality	8	821	0				
purchase/requisition	71b1868	3/12/2026 18:23	Mazterhan	resolved /price2 functionality	8	821	0				
calculator/formulas	bedf167	3/12/2026 19:07	Mazterhan	developed price history  to the /price/{id}	7	382	22				
functionality/repair	bedf167	3/12/2026 19:07	Mazterhan	developed price history  to the /price/{id}	7	382	22				
main	bedf167	3/12/2026 19:07	Mazterhan	developed price history  to the /price/{id}	7	382	22				
module/administration	bedf167	3/12/2026 19:07	Mazterhan	developed price history  to the /price/{id}	7	382	22				
purchase/requisition	bedf167	3/12/2026 19:07	Mazterhan	developed price history  to the /price/{id}	7	382	22	7			
calculator/formulas	568afc2	3/13/2026 11:39	Mazterhan	modified /admin/editgroupsandcategories/product-categories	1	3	6				
functionality/repair	568afc2	3/13/2026 11:39	Mazterhan	modified /admin/editgroupsandcategories/product-categories	1	3	6				
main	568afc2	3/13/2026 11:39	Mazterhan	modified /admin/editgroupsandcategories/product-categories	1	3	6				
module/administration	568afc2	3/13/2026 11:39	Mazterhan	modified /admin/editgroupsandcategories/product-categories	1	3	6				
purchase/requisition	568afc2	3/13/2026 11:39	Mazterhan	modified /admin/editgroupsandcategories/product-categories	1	3	6				
calculator/formulas	20789d2	3/13/2026 14:55	Mazterhan	add functionality for the new /price page grid	11	458	67				
functionality/repair	20789d2	3/13/2026 14:55	Mazterhan	add functionality for the new /price page grid	11	458	67				
main	20789d2	3/13/2026 14:55	Mazterhan	add functionality for the new /price page grid	11	458	67				
module/administration	20789d2	3/13/2026 14:55	Mazterhan	add functionality for the new /price page grid	11	458	67				
purchase/requisition	20789d2	3/13/2026 14:55	Mazterhan	add functionality for the new /price page grid	11	458	67				
calculator/formulas	4deb11a	3/13/2026 16:19	Mazterhan	removed functionality that should not be used	5	66	116				
functionality/repair	4deb11a	3/13/2026 16:19	Mazterhan	removed functionality that should not be used	5	66	116				
main	4deb11a	3/13/2026 16:19	Mazterhan	removed functionality that should not be used	5	66	116				
module/administration	4deb11a	3/13/2026 16:19	Mazterhan	removed functionality that should not be used	5	66	116				
purchase/requisition	4deb11a	3/13/2026 16:19	Mazterhan	removed functionality that should not be used	5	66	116				
calculator/formulas	b034a77	3/13/2026 16:40	Mazterhan	added comment to the position items	5	61	2				
functionality/repair	b034a77	3/13/2026 16:40	Mazterhan	added comment to the position items	5	61	2				
main	b034a77	3/13/2026 16:40	Mazterhan	added comment to the position items	5	61	2				
module/administration	b034a77	3/13/2026 16:40	Mazterhan	added comment to the position items	5	61	2				
purchase/requisition	b034a77	3/13/2026 16:40	Mazterhan	added comment to the position items	5	61	2	7			
